title	URL	Column3	date
QVC Can't Stop Web Scraping - Forbes	https://www.forbes.com/sites/ericgoldman/2015/03/24/qvc-cant-stop-web-scraping/	24-Mar-15	
Tidy web scraping in R — Tutorial and resources | by Keith ...	https://towardsdatascience.com/tidy-web-scraping-in-r-tutorial-and-resources-ac9f72b4fe47	"Jul 28, 2019 · Uploaded by Yrrah0015"	
Web Scraping Tutorial | Python Beautifulsoup ... - YouTube	https://www.youtube.com/watch?v=mKxFfjNyj3c	"Dec 12, 2017 · Uploaded by edureka!"	
How To Scrape Data From A Website Into Excel - YouTube	https://www.youtube.com/watch?v=YQbe20G0ZSM	"Jan 6, 2018 · Uploaded by Md Al Amin"	
Screen Scraping software for desktop and web - UiPath	https://www.uipath.com/solutions/technology/screen-scraping	"Apr 15, 2014 · Uploaded by UiPath"	
Web Scraping Tutorial - How to Seed your Database with Web ...	https://www.youtube.com/watch?v=_opDs6UPDyo	"Mar 10, 2017 · Uploaded by Fullstack Academy"	
Data Scraping and Analysis using Python | by Jasmeet Singh ...	https://towardsdatascience.com/competitive-price-data-scraping-and-analysis-using-python-a1f34758155	"May 24, 2020 · Uploaded by Miguel Albrecht"	
Introduction to Web Scraping with Java | Java Tutorial - YouTube	https://www.youtube.com/watch?v=1a7esDg4JQY	"Dec 15, 2018 · Uploaded by ProgrammingKnowledge"	
Web Crawling vs Web Scraping: The Differences - Blog ...	https://oxylabs.io/blog/crawling-vs-scraping	"Dec 17, 2020 · Uploaded by Oxylabs"	
Web scraping: Reliably and efficiently pull data ... - YouTube	https://www.youtube.com/watch?v=52wxGESwQSA	"Mar 9, 2012 · Uploaded by Next Day Video"	
"Big Data: What Is Web Scraping, and Why Does It Matter ..."	https://www.octoparse.com/blog/big-data-what-is-web-scraping-and-why-does-it-matter	"Feb 24, 2020 · Uploaded by Octoparse"	
Web Scraping : Extract Any Data in 5 Minutes | by Jeevan ...	https://medium.com/@jeevanchavan143/web-scraping-extract-any-data-in-5-minutes-67c8ec01d704	"May 1, 2020 · Uploaded by jeevan chavan"	
Web Scraping vs API: What's the Difference? | ParseHub	https://www.parsehub.com/blog/web-scraping-vs-api/	"Mar 9, 2020 · Uploaded by ParseHub"	
Web Scraping Examples: How Businesses Use ... - YouTube	https://www.youtube.com/watch?v=2XfA0e4Bzkk	"Nov 11, 2019 · Uploaded by ParseHub"	
Web Scraping vs. Data API Scraping - YouTube	https://www.youtube.com/watch?v=zj7pXM9gE5M	"Jun 1, 2020 · Uploaded by Stevesie Data"	
Data Scraping and Mining From Websites Free No ... - YouTube	https://www.youtube.com/watch?v=CKRjXZSgg-g	"Feb 21, 2017 · Uploaded by Just2 Techno"	
Web Scraping vs Data Mining: What's the Difference ...	https://www.parsehub.com/blog/web-scraping-vs-data-mining/	"Mar 2, 2020 · Uploaded by ParseHub"	
Scrape The Internet To Get Training Data For Your Machine ...	https://blog.datahut.co/scrape-the-internet-to-get-training-data-for-your-machine-learning-model/	26-May-17	
UiPath Data Scraping (Web Page to Excel) - Tutorial - YouTube	https://www.youtube.com/watch?v=vIAJvk4quqA	"Jan 22, 2020 · Uploaded by Anders Jensen"	
Is Web Scraping Easy? How to Scrape Data without Coding ...	https://www.parsehub.com/blog/web-scraping-easy/	"Feb 10, 2020 · Uploaded by ParseHub"	
Web Scraper intro tutorial - YouTube	https://www.youtube.com/watch?v=n7fob_XVsbY	"Jun 25, 2019 · Uploaded by Web Scraper"	
Best Data Scraping Tools for 2020 (Top 10 Reviews) | by ...	https://medium.com/datadriveninvestor/best-data-scraping-tools-for-2019-top-10-reviews-4a686061a184	"May 6, 2019 · Uploaded by Octoparse"	
What is Web Scraping and Who is Using it? | Octoparse	https://www.octoparse.com/blog/what-is-web-scraping	"Aug 27, 2018 · Uploaded by Octoparse"	
Sources of Data - Web Scraping Example 2 - YouTube	https://www.youtube.com/watch?v=woQ4y4jlRjk	"Aug 9, 2016 · Uploaded by Udacity"	
web scraping using python for beginners - YouTube	https://www.youtube.com/watch?v=0_VZ7NpVw1Y	"Feb 15, 2018 · Uploaded by Hitesh Choudhary"	
ImportFromWeb | Easy Web Scraping - Google Workspace ...	https://workspace.google.com/marketplace/app/importfromweb_easy_web_scraping/278587576794	"Feb 5, 2020 · Uploaded by NoDataNoBusiness"	
The A-Z of Web Scraping in 2020 [A How-To Guide] - DZone ...	https://dzone.com/articles/the-a-z-of-web-scraping-in-2020-a-how-to-guide	"Sep 1, 2020 · Uploaded by Dmitry Narizhnykh"	
Web Scraping with Python Made Easy | by Jose Manu ...	https://towardsdatascience.com/web-scraping-with-python-made-easy-f069ffaf7754	"Jan 28, 2020 · Uploaded by Coding Fun"	
Can you Make Money from Web Scraping? Of Course ...	https://www.parsehub.com/blog/web-scraping-money/	"Mar 30, 2020 · Uploaded by ParseHub"	
15 Most Frequently Asked Questions about Web Scraping (Q&A)	https://www.octoparse.com/blog/15-most-frequently-asked-questions-of-web-scraping	"Feb 1, 2019 · Uploaded by Octoparse"	
How to Scrape Websites at Large Scale (2020 Guide ...	https://www.octoparse.com/blog/scrape-websites-at-large-scale	"Feb 3, 2020 · Uploaded by Octoparse"	
Examples of Businesses Who Use Data Scraping | Octoparse	https://www.octoparse.com/blog/examples-of-who-use-data-scraping	"Mar 2, 2020 · Uploaded by Octoparse"	
Data Scraping In UiPath Rpa Example - YouTube	https://www.youtube.com/watch?v=WtyiwEVF2-w	"May 30, 2019 · Uploaded by KB Tutorials"	
Data Scraping to Excel - UiPath Tutorial for ... - YouTube	https://www.youtube.com/watch?v=kOPfG44-CBw	"Jul 13, 2020 · Uploaded by Anders Jensen"	
How To Scrape Google For 1000's of Leads. Web ... - YouTube	https://www.youtube.com/watch?v=EPxeQjKaTsk	"Apr 22, 2020 · Uploaded by Arpit Khurana"	
Web Scraping Tool | Free Browser Extensions | Grepsr	https://www.grepsr.com/browser-extensions/	9-Jun-16	
"Automate Data Extraction – Web Scraping, Screen ... - YouTube"	https://www.youtube.com/watch?v=NwhG7e67sHo	"Jul 20, 2016 · Uploaded by HelpSystems"	
How to Scrape a Website that Requires Login | ParseHub	https://www.parsehub.com/blog/web-scrape-login/	"Jan 20, 2020 · Uploaded by ParseHub"	
Extract Data from any Website using Data Scraper - Easy Web ...	https://www.youtube.com/watch?v=B7yyemwCf7g	"Nov 11, 2017 · Uploaded by ITfriend"	
UiPath Data Scraping in Hindi - YouTube	https://www.youtube.com/watch?v=mip15KZKyTs	"Dec 31, 2018 · Uploaded by UiPath RPA"	
Robust & Resilient Web Scraping with AutoScrape | by Ravi ...	https://medium.com/analytics-vidhya/robust-resilient-web-scraping-with-autoscrape-3988169f1e22	"Sep 27, 2020 · Uploaded by Brandon Roberts"	
What can Web Scraping be Used For? | ParseHub	https://www.parsehub.com/blog/web-scraping-uses/	"Feb 17, 2020 · Uploaded by ParseHub"	
5 Reasons Why Web Scraping May Benefit Your Business ...	https://www.octoparse.com/blog/why-web-scraping-may-benefit-your-business	"Dec 17, 2019 · Uploaded by Octoparse"	
How to use Python and Selenium to scrape websites	https://thenextweb.com/syndication/2020/07/22/how-to-use-python-and-selenium-to-scrape-websites/	"Jul 22, 2020 · Uploaded by The Royal Institution"	
Data Scraping Automation Webinar | HelpSystems	https://www.helpsystems.com/resources/on-demand-webinars/automate-data-scraping	24-Feb-17	
Scraping and Cleaning Data | Journalist's Toolbox	https://www.journaliststoolbox.org/2020/12/16/find-scrape-and-clean-data/	"Dec 16, 2020 · Uploaded by journaliststoolbox"	
Web Scraping using Beautiful Soup and Selenium for dynamic ...	https://medium.com/ymedialabs-innovation/web-scraping-using-beautiful-soup-and-selenium-for-dynamic-page-2f8ad15efe25	"Feb 15, 2019 · Uploaded by rahul nayak"	
Web Scraping Using Python - YouTube	https://www.youtube.com/watch?v=cMFQSmEfbSE	"Dec 20, 2018 · Uploaded by Intellipaat"	
"How to Scrape Amazon Product Data for Free: Names, Pricing ..."	https://www.parsehub.com/blog/scrape-amazon-product-data/	"Nov 9, 2020 · Uploaded by ParseHub"	
How much does Web Scraping cost? | ParseHub	https://www.parsehub.com/blog/web-scraping-cost/	"Apr 6, 2020 · Uploaded by ParseHub"	
Python Tutorial: Web Scraping with BeautifulSoup ... - YouTube	https://www.youtube.com/watch?v=ng2o98k983k	"Nov 8, 2017 · Uploaded by Corey Schafer"	
Web scraping with Python - YouTube	https://www.youtube.com/watch?v=ktNAhLp0ymg	"Jul 8, 2020 · Uploaded by Great Learning"	
Data Crawler - Web Scraping Tool & Free Web Crawlers ...	https://www.octoparse.com/DataCrawler	"Nov 14, 2017 · Uploaded by Octoparse"	
5 Top Tips for Data Scraping Using Selenium in Python | by ...	https://towardsdatascience.com/5-top-tips-for-data-scraping-using-selenium-d8b83804681c	"Aug 9, 2020 · Uploaded by Stephen Fordham"	
How does web scraping work? | ParseHub	https://www.parsehub.com/blog/how-web-scraping-works/	"Feb 24, 2020 · Uploaded by ParseHub"	
Intro To Web Scraping With Python - YouTube	https://www.youtube.com/watch?v=4UcqECQe5Kc	"Jul 29, 2018 · Uploaded by Traversy Media"	
Web Scraping: How to Get Coronavirus Data (COVID-19 ...	https://www.octoparse.com/blog/get-real-time-coronavirus-data-sars-cov-2	"Feb 13, 2020 · Uploaded by Octoparse"	
Top 20 Web Crawling Tools to Scrape the Websites Quickly ...	https://www.octoparse.com/blog/top-20-web-crawling-tools-for-extracting-web-data	"Aug 23, 2019 · Uploaded by Octoparse"	
Web Scraping Ideas: 5 Easy Ways to Get Started Now ...	https://www.parsehub.com/blog/web-scraping-ideas/	"Nov 4, 2019 · Uploaded by ParseHub"	
Scraping Data from Website to Excel (Tutorial 2020) | Octoparse	https://www.octoparse.com/blog/scraping-data-from-website-to-excel	"Feb 1, 2020 · Uploaded by Octoparse"	
Real Estate Web Scraping: Changing This Industry - Blog ...	https://oxylabs.io/blog/data-scraping-for-real-estate	"May 11, 2020 · Uploaded by Oxylabs"	
Web Scraper multiple record extraction tutorial - YouTube	https://www.youtube.com/watch?v=_CtbZub5ny0	"Jun 25, 2019 · Uploaded by Web Scraper"	
Advanced Web Scraping Tutorials in Python - NEX	https://www.nexsoftsys.com/articles/web-scraping-in-python.html	"Sep 1, 2018 · Uploaded by Data Science Dojo"	
Data Entry Work On Fiverr | Web Scraping Tutorial ... - YouTube	https://www.youtube.com/watch?v=RYkbeb22z0k	"Jul 5, 2019 · Uploaded by HBA Services"	
How to Scrape Data from a News Website | ParseHub	https://www.parsehub.com/blog/scrape-news-website/	"Jun 11, 2020 · Uploaded by ParseHub"	
A Guide to Web Scraping with Node.js - YouTube	https://www.youtube.com/watch?v=dXjKh66BR2U	"Jul 24, 2019 · Uploaded by Fireship"	
Easy Web Scraping in Power BI - YouTube	https://www.youtube.com/watch?v=RnMrGaiVWtQ	"May 29, 2018 · Uploaded by BI Elite"	
Step-by-step Complete Guide to Web Scraping with Python	https://www.digitalvidya.com/blog/web-scraping-with-python/	"May 6, 2019 · Uploaded by Corey Schafer"	
Web Scraping Python Tutorial - Web Scraping using Python ...	https://intellipaat.com/blog/tutorial/python-tutorial/python-web-scraping-tutorial/	"Sep 18, 2020 · Uploaded by Intellipaat"	
Data/Web scraping with Python | Great Learning - YouTube	https://www.youtube.com/watch?v=R1IsDLz1tZs	"Aug 5, 2020 · Uploaded by Great Learning"	
Automate Web Data Extraction - UiPath Studio - YouTube	https://www.youtube.com/watch?v=m_PkWeHSOrE	"Oct 6, 2014 · Uploaded by UiPath"	
Web Scraping With Google Sheets | Hacker Noon	https://hackernoon.com/web-scraping-with-google-sheets-20d0dce323cc	"May 16, 2018 · Uploaded by Ben R"	
LinkedIn Scraper | LinkedIn Data Extractor Software Tool	https://scrapingexpert.com/linkedin-scraper/	8-Aug-14	
